step,stage,family,condition,episodes,visual_updates,loss,grad_norm,accuracy,frames,step_seconds,wall_utc
143,bridge,contrast,anchor,572,2364,0.05931084230542183,1.0365822315216064,1.0,2,0.09300000010989606,2026-09-13T01:13:21.276698+00:00
144,bridge,spatial_frequency,anchor,576,2372,0.032994844019412994,1.0631859302520752,1.0,2,0.06299999984912574,2026-09-13T01:13:21.346819+00:00
145,bridge,chromatic_increment,anchor,580,2380,0.13638710975646973,2.864783763885498,1.0,2,0.0940000000409782,2026-09-13T01:13:21.441501+00:00
146,bridge,contour,anchor,584,2388,0.1306735873222351,2.136594772338867,1.0,2,0.09300000010989606,2026-09-13T01:13:21.523806+00:00
147,bridge,natural_spectrum,anchor,588,2396,0.13967274129390717,3.9721052646636963,1.0,2,0.125,2026-09-13T01:13:21.657641+00:00
148,bridge,motion_direction,bridge_integrate_visible,592,2416,1.3893351554870605,1.1558986902236938,0.25,5,0.17199999978765845,2026-09-13T01:13:21.818229+00:00
149,bridge,orientation,bridge_integrate_visible,596,2436,0.7380623817443848,1.9486678838729858,0.25,5,0.1410000000614673,2026-09-13T01:13:21.967196+00:00
150,bridge,contrast,bridge_integrate_visible,600,2456,0.6436978578567505,0.639288604259491,0.75,5,0.1559999999590218,2026-09-13T01:13:22.122653+00:00
151,bridge,spatial_frequency,bridge_integrate_visible,604,2476,0.6753456592559814,1.481927752494812,0.5,5,0.1410000000614673,2026-09-13T01:13:22.266806+00:00
152,bridge,chromatic_increment,bridge_integrate_visible,608,2496,0.6747894287109375,2.0362026691436768,0.5,5,0.1559999999590218,2026-09-13T01:13:22.412934+00:00
153,bridge,contour,bridge_integrate_visible,612,2512,0.7171038389205933,0.8297524452209473,0.25,4,0.1720000000204891,2026-09-13T01:13:22.584741+00:00
154,bridge,natural_spectrum,bridge_integrate_visible,616,2532,0.6856985688209534,1.0243806838989258,0.25,5,0.2339999999385327,2026-09-13T01:13:22.831889+00:00
155,bridge,motion_direction,bridge_integrate_transient,620,2552,1.3434712886810303,1.0193413496017456,0.5,5,0.1880000000819564,2026-09-13T01:13:23.019942+00:00
156,bridge,orientation,bridge_integrate_transient,624,2572,0.8382500410079956,2.6645376682281494,0.0,5,0.1869999999180436,2026-09-13T01:13:23.200101+00:00
157,bridge,contrast,bridge_integrate_transient,628,2592,0.6651791334152222,1.0239510536193848,0.5,5,0.15600000019185245,2026-09-13T01:13:23.357726+00:00
158,bridge,spatial_frequency,bridge_integrate_transient,632,2612,0.7078477144241333,1.798065423965454,0.5,5,0.15699999989010394,2026-09-13T01:13:23.509640+00:00
159,bridge,chromatic_increment,bridge_integrate_transient,636,2632,0.7935851812362671,2.0810277462005615,0.25,5,0.1559999999590218,2026-09-13T01:13:23.666879+00:00
160,bridge,contour,bridge_integrate_transient,640,2648,0.6869573593139648,0.7970446944236755,0.75,4,0.1410000000614673,2026-09-13T01:13:23.804084+00:00
161,bridge,natural_spectrum,bridge_integrate_transient,644,2668,0.7429972887039185,1.2879945039749146,0.25,5,0.1869999999180436,2026-09-13T01:13:23.999184+00:00
162,bridge,motion_direction,bridge_recall,648,2688,1.326277494430542,0.7607353925704956,0.75,5,0.15600000019185245,2026-09-13T01:13:24.160911+00:00
163,bridge,orientation,bridge_recall,652,2708,0.610072135925293,6.4441094398498535,0.75,5,0.1410000000614673,2026-09-13T01:13:24.303660+00:00
164,bridge,contrast,bridge_recall,656,2728,0.6784782409667969,2.51481556892395,0.5,5,0.1559999999590218,2026-09-13T01:13:24.458743+00:00
165,bridge,spatial_frequency,bridge_recall,660,2748,1.1772596836090088,21.077604293823242,0.5,5,0.14000000013038516,2026-09-13T01:13:24.607289+00:00
166,bridge,chromatic_increment,bridge_recall,664,2768,1.2878035306930542,15.445590019226074,0.25,5,0.14099999982863665,2026-09-13T01:13:24.752209+00:00
167,bridge,contour,bridge_recall,668,2788,0.708346962928772,2.6408183574676514,0.5,5,0.1720000000204891,2026-09-13T01:13:24.925991+00:00
168,bridge,natural_spectrum,bridge_recall,672,2808,0.9229006767272949,9.591161727905273,0.5,5,0.1869999999180436,2026-09-13T01:13:25.115629+00:00
169,bridge,motion_direction,anchor,676,2816,0.055886078625917435,4.376672744750977,1.0,2,0.06300000008195639,2026-09-13T01:13:25.189968+00:00
170,bridge,orientation,anchor,680,2824,0.023852864280343056,0.8840517401695251,1.0,2,0.09300000010989606,2026-09-13T01:13:25.271985+00:00
171,bridge,contrast,anchor,684,2832,0.22181296348571777,5.157984256744385,0.75,2,0.0779999999795109,2026-09-13T01:13:25.348656+00:00
172,bridge,spatial_frequency,anchor,688,2840,0.023799534887075424,0.6131263375282288,1.0,2,0.07899999991059303,2026-09-13T01:13:25.433473+00:00
173,bridge,chromatic_increment,anchor,692,2848,0.550675630569458,12.466949462890625,0.75,2,0.0779999999795109,2026-09-13T01:13:25.516996+00:00
174,bridge,contour,anchor,696,2856,0.15109160542488098,1.898466944694519,1.0,2,0.09300000010989606,2026-09-13T01:13:25.604033+00:00
175,bridge,natural_spectrum,anchor,700,2864,0.05832952633500099,1.272951602935791,1.0,2,0.125,2026-09-13T01:13:25.726097+00:00
176,bridge,motion_direction,bridge_integrate_visible,704,2884,1.442623496055603,1.2570679187774658,0.25,5,0.15699999989010394,2026-09-13T01:13:25.883050+00:00
177,bridge,orientation,bridge_integrate_visible,708,2904,0.7653453946113586,2.223633050918579,0.25,5,0.1720000000204891,2026-09-13T01:13:26.052551+00:00
178,bridge,contrast,bridge_integrate_visible,712,2924,0.7136244773864746,0.7991705536842346,0.5,5,0.17100000008940697,2026-09-13T01:13:26.228812+00:00
179,bridge,spatial_frequency,bridge_integrate_visible,716,2944,0.8486893773078918,3.333280086517334,0.5,5,0.14099999982863665,2026-09-13T01:13:26.377810+00:00
